"comment","user_id"
"""Can't take my eyes off you","741"
"""your angelic voice","300"
"""AAAA su voz es hermosa me encanta","800"
"Она как ангел...","125"
"Omg she is 18 😱🥺 so beautiful voice ❤️","672"
"""I see new cover made by Emily Sie","21"
"woah. thas it. her voice is *CHEFS KISS*","616"
"Her voice is so cool and nice","959"
"""Aaaaaaahh","738"
"The colour pallet of her room fits this song!!","897"
"Your voice is so sweet 🥺🤏🏻!","405"
"Your voice is so addicting","498"
"""Your voice","169"
"Could you sing a cover of 'BBI BBI' by IU？","903"
"feel your soul feel your voice just feel it","871"
"Wow can't believe that your voice is so lovely","424"
"omg ur voice is angel","866"
"The best in providing cover .","962"
"""I like your voice","389"
"I want your voice 😭💜Woow is so magic !","481"
"""you look soo cute","522"
"Your deep notes ✨ is just wow","556"
"Awww BTS 🥺💜","45"
"""Great voice","747"
"omg her voice is sooooo gooodd 😭💜","922"
"SUCH A BEAUTIFUL VOICE","292"
"rap line parts are my favssssss","19"
"Life goes on cutest ver. ☺️","266"
"天使໒꒱· ﾟ","547"
"She sings so well 😍😍","358"
"IM IN LOVE WITH THIS","859"
"She is the future idol star","903"
"Fine by taeyon pleasseeee 🥺🙏🙏","94"
"""Omg ","200"
"you're so angelic.","692"
"what a awesome voice! 🥺❤","49"
"So cute!!❤️","416"
"❤️❤️❤️life goes on❤️❤️❤️","559"
"Your voice is so soft <3","333"
"So Cute 💜","370"
"NCT U From Home (Rearranged Ver.) pleaseeee","804"
"She's so talented","707"
"new crush ^-^","818"
"Your voice so quiet and soft","95"
"""OH YOU""""RE JUST TOO CUTE.""","263"
"Her voice is so cute oemji❤️","97"
"youre so talentedd!!","707"
"""Wow","109"
"You've such a relaxing voice!❤","937"
"wow she can be a next idol","147"
"Omg the grey🥰🥰and ur voice omg","694"
"""нежно и успокаивающе","786"
"""Hey loves","866"
"Jimin and v  have same sense","848"
"Vmin are true soulmates","245"
"I think V knows everything about jk","626"
"""Who said there aren't soulmates","969"
"RM is sooo cute maahn","709"
"Taeyhung knows jungkook's wall color 💜💜 omoo","535"
"My taekook heart🤣🥰💜","112"
"Vmin and taekook moments ugh💜💜💜💜💜🙆","697"
"What's wrong with Jin....at 3:10😂😂😂😂😂😂","375"
"Vmin 💜💜","767"
"0:00- Sin 7:10- R&V 11:36- 3Js","156"
"""SO HERE'S THE THING","672"
"Suga looks too handsome nd cute","919"
"Suga is very talkative 💜😂","221"
"Vmin is so cute ❤😘 JIHOPE ❤","689"
"That Suga + jin = sin            😭","767"
"Jimin & jk so cuteee 😍❤️❤️❤️😘","221"
"""This is gold.  I've been an Army since Dec '18","791"
"""My 7 huggable babies","284"
"Such cuties I want to see taekook","705"
"How rm and v room are connected 🤔🤔","415"
"Thank you for the English captions!!!!!","476"
"Yoonjin😢😢😢😢 I love them","497"
"""Okay this might seem irrelevant but at 10:57 ","90"
"Taekook And Vmin 💜","863"
"Vimin😇🥰","445"
"Thanks for uploading I'm a new army","622"
"Vmin","990"
"0:28 Hobi 😂 💀","651"
"💜💜💜","582"
"Set j💜💜💜💜💜","383"
"Fun fact: jit means triump in hindi. 2:12","216"
"BTS iam biggest army of  u","119"
"Telepathy ☺️","880"
"Vkook and Vmin😍😍😍","212"
"Minkook","422"
"Minkook","841"
"Jit...sounds like'jeet' Any Indians here?!🤭😜","215"
"Vmin😂","866"
"Taekook🐯🐰 Jikook🐥🐰 Vmin🐯🐥","222"
"And they were roomates","792"
"What bts show is that ?","942"
"Not the telepathy hint","531"
"It is a love story?? Please say 🥺","815"
"Oh yes Jin scolding Y/N is the best thing ever","910"
"""9:17 Jin's next rap called """"Pain killer""""😂😂""","66"
"""Reading this","986"
"We all know where the 7 dislikes came from 😬","248"
"""IF i was y/n and Tae will rub my stomach","212"
"Feels like I have 7 boyfriends","633"
"I NEED BROTHERS LIKE THEM PFOJDKXNX.","54"
"I want more of this kind of Fiction","474"
"uhm- you shoul-dnt be dancing while on periods-","379"
"""Just so you know","689"
"Perfect timing to watch it .","412"
"Im here!!","620"
"""So here's the thing","322"
"Me jamming to background music-","14"
"Happy New year 🥳💜 nice ff💜","819"
"""If I’m really the 8th member","226"
"Omg Jin start rapping again 😂😂😂","293"
"best award of mother goes to jin......","437"
"Lmao I love Jin's Aduttuide in this it's the best","769"
